,paperId,abstract
0,274cf288ecb0419db4aa017d74530280714410b8,"The socioeconomic or political structures of countries and investment costs play a crucial role in investor decisions, especially in developing countries where the environment is unstable. In this regard, fuzzy models that consider the investment amount and cost may enable making more realistic decisions rather than the deterministic models used in portfolio optimization (PO). Hence, the objective of this paper is to examine the effects of the environment, investment amount and cost on PO in a politically, socially and economically unstable environment. Konno-Yamazaki PO model was fuzzified by adopting fuzzy linear programming (FLP) approaches of Verdegay and Werners for this purpose. Afterward, extended models were created. To do that, investment amount, tax and transaction costs were integrated into the return constraint of the fuzzified models. Mean-Variance Model (MVM) of Markowitz was also used for comparatively interpreting the results of the optimization. Results show that the fuzzified models based on Verdegay and Werners FLP approaches can be suggested as a decision-making tool, respectively for risk-averse and risk-taker investors. The extended models provide much better results compared to the fuzzified models. On the other hand, they are not more successful than the MVM in an unstable environment but the stable environment. The main contributions are onsidering political, social and economic events in the optimization, comparatively analyzing fuzzified Konno-Yamazaki model with its extended versions and the MVM, investigating the relationship between optimization models and investor types."
1,274cf288ecb0419db4aa017d74530280714410b8,"The socioeconomic or political structures of countries and investment costs play a crucial role in investor decisions, especially in developing countries where the environment is unstable. In this regard, fuzzy models that consider the investment amount and cost may enable making more realistic decisions rather than the deterministic models used in portfolio optimization (PO). Hence, the objective of this paper is to examine the effects of the environment, investment amount and cost on PO in a politically, socially and economically unstable environment. Konno-Yamazaki PO model was fuzzified by adopting fuzzy linear programming (FLP) approaches of Verdegay and Werners for this purpose. Afterward, extended models were created. To do that, investment amount, tax and transaction costs were integrated into the return constraint of the fuzzified models. Mean-Variance Model (MVM) of Markowitz was also used for comparatively interpreting the results of the optimization. Results show that the fuzzified models based on Verdegay and Werners FLP approaches can be suggested as a decision-making tool, respectively for risk-averse and risk-taker investors. The extended models provide much better results compared to the fuzzified models. On the other hand, they are not more successful than the MVM in an unstable environment but the stable environment. The main contributions are onsidering political, social and economic events in the optimization, comparatively analyzing fuzzified Konno-Yamazaki model with its extended versions and the MVM, investigating the relationship between optimization models and investor types."
2,ffc8a0e3779ce0d772c46b55e78a2c51bd8bcc23,"Despite the recent progress in language generation models, their outputs may not always meet user expectations. In this work, we study whether informational feedback in natural language can be leveraged to improve generation quality and user preference alignment. To this end, we consider factual consistency in summarization, the quality that the summary should only contain information supported by the input documents, for user preference alignment. We collect a high-quality dataset, DeFacto , containing human demonstrations and informational feedback in natural language consisting of corrective instructions, edited summaries, and explanations with respect to the factual consistency of the summary. Using our dataset, we study two natural language generation tasks: 1) editing a summary using the human feedback, and 2) generating human feedback from the original summary. Using the two tasks, we further evaluate if models can automatically correct factual inconsistencies in generated summaries. We show that the human-edited summaries we collected are more factually consistent, and pre-trained language models can leverage our dataset to improve the factual consistency of original system-generated summaries in our proposed generation tasks. We make the DeFacto dataset publicly available at https:// github.com/microsoft/DeFacto ."
3,b3262a02f8073207c9c2431bcd85cbae5cede685,
4,f1d290c7da1865e4af309ddbe8e68177c090db14,"The aim of this study is to evaluate diurnal variation in knee cartilage 3 Tesla magnetic resonance imaging (MRI) T2 mapping relaxation times, as well as activity- and body mass index (BMI)-dependent variability, using quantitative analysis of T2 values from segmented regions of the weight-bearing articular surfaces of the medial and lateral femoral condyles and tibial plateaus. Ten healthy volunteers' daily activity (steps) were tracked with Fitbit pedometers. Sagittal MRI T2 maps were obtained in the morning and afternoon on days 2 and 3. Mean T2 values were analyzed for variation related to the number of steps taken (activity), time of day (diurnal variation), and BMI using mixed effect model. Significant (albeit small) differences in the medial femoral and medial tibial cartilage regions were identified between morning and afternoon scans (diurnal variation). Daily activity did not result in significant changes and increasing BMI only demonstrated a slight increase in T2 values for the lateral tibial plateau. These findings suggest that it may be necessary to control diurnal variation when using quantitative MRI T2 mapping to assess articular cartilage longitudinally in healthy participants. Further investigation is needed to confirm these findings and determine if they also apply to symptomatic patients."
5,397919c28fd365fc425ff6763279da8b7b12fb9b,"Why do some peer production projects do a better job at engaging potential contributors than others? We address this question by comparing three Indian language Wikipedias, namely, Malayalam, Marathi, and Kannada. We found that although the three projects share goals, technological infrastructure, and a similar set of challenges, Malayalam Wikipedia’s community engages language speakers in contributing at a much higher rate than the others. Drawing from a grounded theory analysis of interviews with 18 community participants from the three projects, we found that experience with participatory governance and free/open-source software in the Malayalam community supported high engagement of contributors. Counterintuitively, we found that financial resources intended to increase participation in the Marathi and Kannada communities hindered the growth of these communities. Our findings underscore the importance of social and cultural context in the trajectories of peer production communities."
6,ef5f5bb7f754bc95bf4587297a318e68078b6615,"To minimize the occurrence of friction loss through polishing, pavements must be constructed from polish-resistant aggregates. Research has shown that limestone aggregates with high concentrations of carbonates are highly susceptible to polishing. Identifying polish-susceptible aggregates in the laboratory before they are placed on the road surface can help reduce accidents and save lives. Seven aggregate sources from nine field sites throughout Utah were identified by the locked-wheel skid trailer (LWST) to have low friction surfaces. A correlation between carbonate content, determined using X-ray diffraction (XRD), and accelerated polish testing was developed. Additionally, a correlation between field testing and laboratory testing was developed between the results of XRD and LWST testing. The correlations were characterized by high coefficients of determination, indicating that carbonate content is highly correlated to both polish susceptibility and field friction values. These correlations can be used to help reduce risk to the traveling public and predict pavement friction values before placing new asphalt."
7,7134803a8a5987b5ee0bbb0b4514efd7cac635ff,
8,b76eaabd4810b3b55949eced0519bdc0019d2e5e,"There has been a surge in polarization in recent years, resulting in a decline in institutional trust and subjective well-being. Motivated by the fact that polarization could emerge from the politicization of news content in the media (i.e., framing), this paper uses the universe of articles related to climate change from The Guardian between 2004 and 2018 to estimate the effects of politicization on user engagement. We find that a rise in politicized content is associated with significant increase in user engagement for non-climate change articles, but with a much weaker increase for articles with greater climate change intensity. We furthermore explore the mechanisms behind these results and show that the politicized content of the discussion sections of the articles accounts for the overall effects. Our results suggest that organizations in the digital economy can communicate factual information to consumers better by avoiding politicized rhetoric."
9,7aefb4cb6141f848a58c59daa6bdc326b503111c,
