,0
0,10337715
1,107781573
2,113764274
3,11456612
4,117471569
5,118841915
6,118955679
7,119789235
8,120035792
9,120345599
10,120669303
11,120678521
12,121610894
13,122809195
14,122823988
15,123249898
16,123789190
17,12719373
18,12955990
19,13304526
20,13492725
21,13848458
22,1393000150
23,1398180433
24,1401176425
25,1403171029
26,1403235031
27,1404036393
28,1404333228
29,1404357717
30,1405381835
31,1405447862
32,14161130
33,14298282
34,143643844
35,143709703
36,143759133
37,143763354
38,143832374
39,143984380
40,144125213
41,144175577
42,144266258
43,144440084
44,144547315
45,144673192
46,144786184
47,144824439
48,144918359
49,144949381
50,145003123
51,145107960
52,145174228
53,145234497
54,145238674
55,145295142
56,145308025
57,145373673
58,145387073
59,145427337
60,145649688
61,145686749
62,145725020
63,145832870
64,145856934
65,145879842
66,146299678
67,147949671
68,151003028
69,151176672
70,151212961
71,15180421
72,152419600
73,153163403
74,15880968
75,16034608
76,1606045824
77,16610449
78,16778674
79,1682547
80,1682815
81,1688335
82,1692044
83,1702853
84,1739628
85,1742431
86,1756918
87,1766622
88,1779187
89,1790267675
90,1793302
91,1795487
92,1811610
93,1816080
94,1841186877
95,1844852
96,1894869
97,1900754
98,1905073793
99,1974786
100,2022168
101,2027049341
102,2034312
103,2034380209
104,2051993
105,2055261849
106,2055719303
107,2055719514
108,2055719942
109,2056020216
110,2056400419
111,2059985820
112,2066330033
113,2067475
114,2069810171
115,2070910
116,2071546086
117,2072650219
118,2072795428
119,2072958899
120,2073166570
121,2073941123
122,2083196505
123,2085094136
124,2085342026
125,2086485
126,2095270860
127,2095779411
128,2103602576
129,2106008420
130,2108136447
131,2108176413
132,2109630999
133,2110239810
134,2110705794
135,2112733674
136,2113349097
137,2113581485
138,2114142040
139,2115619083
140,2115706101
141,2115831297
142,2115832783
143,2116480264
144,2117912733
145,2121403820
146,2122780087
147,2132656607
148,2144003
149,2145130732
150,2146139
151,2148382149
152,2160097126
153,2171758423
154,2176651
155,2177030
156,2178028
157,2181460377
158,21831268
159,2185959964
160,2191455246
161,2192266678
162,2196061761
163,2196116339
164,2197053344
165,2207333
166,2209930
167,2211003
168,2226805
169,2237559
170,2290505
171,2291233
172,2293204
173,2345714
174,2365834
175,2384160
176,2439279
177,2471896
178,2478310
179,24838156
180,2497393
181,2524172
182,2578648
183,2579342
184,2635619
185,2638357
186,2652342
187,2653666
188,26598448
189,2670187
190,26989734
191,2729615
192,2780406
193,27908052
194,2854197
195,2884987
196,2896870
197,2898337
198,2899074
199,2965666
200,2970975
201,2997335
202,29992469
203,30405900
204,30449582
205,30637715
206,3081210
207,3097130
208,3125019
209,3135435
210,31482603
211,3162562
212,3173556
213,3203785
214,3226457
215,32471061
216,3261043
217,32620520
218,32801029
219,32980371
220,33049547
221,3330847
222,33534763
223,3394721
224,3396614
225,3396678
226,33974029
227,34111864
228,34669589
229,34704043
230,34983299
231,34997918
232,35014183
233,35677141
234,35751319
235,3595515
236,3656708
237,3702180
238,37264444
239,37961290
240,3834794
241,38359012
242,3848289
243,38849012
244,39051311
245,39065599
246,39279610
247,39683929
248,39879729
249,39982990
250,40067266
251,40189513
252,40410304
253,40488560
254,40569666
255,40660930
256,40700178
257,41124215
258,41133740
259,4259148
260,4278238
261,4328854
262,46234437
263,4638839
264,47546597
265,47761550
266,47896191
267,47898373
268,47954408
269,48104094
270,48341669
271,4841248
272,4861630
273,48717082
274,48762323
275,49003740
276,49008028
277,49380200
278,49479696
279,4955064
280,49629764
281,49731882
282,49826564
283,49940746
284,50155834
285,5028258
286,50371445
287,50783434
288,51132756
289,51254306
290,51323551
291,51894358
292,51896072
293,52046420
294,5375978
295,5509108
296,5599390
297,5682548
298,6452115
299,6527669
300,6676288
301,6858313
302,6964975
303,69958191
304,7170375
305,7259268
306,73648596
307,74080159
308,7608479
309,8032799
310,80503562
311,80785430
312,82076992
313,82691844
314,8300579
315,8969759
316,90224690
317,90442542
318,9215251
319,9227646
320,9362284
321,94674326
322,9486542
323,9721266
