,0
0,A. Gül Gökay Emel
1,A.K.M. Skarpelis
2,Aaron Clauset
3,Aaron Cluaset
4,Aaron Halfaker
5,Aaron Nichols
6,Aaron Panofsky
7,Aaron Schecter
8,Aaron Schein
9,Aaron Shaw
10,Aaron Smith
11,Aarón Gómez-Dorado
12,Abdul Khaliq Mohammed
13,Abeer Aldayel
14,Abhi Dubey
15,Abhijit Bhanudas Mahale
16,Abhimanyu Dubey
17,Abhishek Samantray
18,Abigail Horn
19,Abigail Jacobs
20,Abiram Gangavaram
21,Abraham Oshotse
22,Adam Bear
23,Adam Berinsky
24,Adam Hughes
25,Adam Pah
26,Adam Richards
27,Adam Sawyer
28,Adam Sutton
29,Adina Nerghes
30,Aditya Tandon
31,Adriana Chazarreta
32,Afra Mashhadi
33,Agnes Horvat
34,Agnese Chiatti
35,Agustín Jamardo Chenlo
36,Ahmad Abu-Akel
37,Ahmad Pratama
38,Ahmed Furkan Özkalay
39,Ahmet Kurnaz
40,Aj Alvero
41,Ajay Sailopal
42,Akira Ishii
43,Akira Matsui
44,Akira Tsurushima
45,Akit Kumar
46,Akshay Aravamudan
47,Alan Perotti
48,Albert Kao
49,Albert-Laszlo Barabasi
50,Alberto Bracci
51,Alberto Cottica
52,Alberto Salomone
53,Alberto Stefanelli
54,Alejandro Andrade
55,Alejandro Espinosa-Rada
56,Alejandro Hermida
57,Alejandro Hermida Carrillo
58,Alejandro Pérez Velilla
59,Aleksandar Tomašević
60,Aleksandra (Oleksandra) Nenko
61,Aleksandra Alorić
62,Aleksandra Urman
63,Aleksei Rotmistrov
64,Alessandra Russo
65,Alessandro Artoni
66,Alessandro Flammini
67,Alessandro Galeazzi
68,Alessandro Gambetti
69,Alessandro Provetti
70,Alessandro Rizzo
71,Alex Arenas
72,Alex Pentland
73,Alex Rutherford
74,Alexander Brand
75,Alexander Gates
76,Alexander Loser
77,Alexander Mantzaris
78,Alexander Petersen
79,Alexander Robertson
80,Alexander Stewart
81,Alexander Teytelboym
82,Alexander Verbraeck
83,Alexander Waagen
84,Alexandra Olteanu
85,Alexandre Bovet
86,Alexandru Cernat
87,Alexandru-Ionut Babeanu
88,Alexi Quintana Mathé
89,Alexis Kochanski
90,Alexis Perrier
91,Alfredo Morales
92,Ali Faqeeh
93,Ali Jadbabaie
94,Ali Tafti
95,Ali Zeynali
96,Alia Braley
97,Aliakbar Akbaritabar
98,Alice Battiston
99,Alice Jang
100,Alicia Cork
101,Alina Arseniev-Koehler
