,authorId,name,aliases,citationCount,field
0,2171758423,A. G. G. Emel,['A. Gül Gökay Emel'],0,Economics
1,94674326,Clauset,"['Clauset', 'Aaron Clauset']",0,Economics
2,1793302,Aaron L Halfaker,"['Aaron Halfaker', 'Aaron Lee Halfaker']",0,Economics
3,47954408,A. Schecter,"['A Schecter', 'A. E. Schecter', 'Aaron Schecter', 'A E Schecter', 'A. Schecter']",0,Economics
4,144786184,Aaron J. Schein,"['Aaron J Schein', 'Aaron Schein']",3,Economics
5,144824439,Aaron D. Shaw,"['Aaron David Shaw', 'Aaron Shaw']",3,Economics
6,2109295150,Aaron B Smith,"['Aaron B. Smith', 'Aaron Smith']",3,Economics
7,3449027,Abeer Aldayel,['Abeer Aldayel'],13,Computer Science
8,52135517,Abhishek Samantray,,14,Economics
9,3937517,Abigail Horn,"['Abigail E Horn', 'Abigail E. Horn']",14,Economics
10,119581298,A. Jacobs,"['Abigail Jacobs', 'Abigail Walker Jacobs']",14,Biology
11,2813216,Adam Bear,['Adam De Bear'],14,Biology
12,4859855,A. Berinsky,"['A J Berinsky', 'Adam J. Berinsky', 'Adam Berinsky', 'Adam J Berinsky']",22,Biology
13,1441946106,A. Hughes,"['A. Hughes', 'Adam M. Hughes', 'Adam Michael Hughes', 'Adam Hughes']",22,Biology
14,3461693,A. Pah,"['A. R. Pah', 'Adam Pah', 'Adam R Pah', 'Adam R. Pah']",23,Biology
15,153275505,A. Richards,"['Adam J Richards', 'Adam J. Richards', 'Adam Richards', 'A Richards']",77,Biology
16,47260431,A. Sawyer,"['A. Sawyer', 'Adam Sawyer', 'Adam J. Sawyer']",79,Biology
17,1453202301,Nerghes Adina,,79,Biology
18,49567303,Aditya Tandon,,79,Biology
19,146089746,Ágnes Horvát,['Agnes Horvat'],79,Biology
20,2607532,Agnese Chiatti,,80,Biology
