,paperId,title,year,externalIdDOI,citationCount,fields,authorIds
0,274cf288ecb0419db4aa017d74530280714410b8,"Fuzzy portfolio optimization with tax, transaction cost and investment amount: a developing country case",2019,10.17535/crorr.2019.0022,0,['Economics'],"[None, None, None]"
1,274cf288ecb0419db4aa017d74530280714410b8,"Fuzzy portfolio optimization with tax, transaction cost and investment amount: a developing country case",2019,10.17535/crorr.2019.0022,0,['Economics'],"[None, None, None]"
2,ffc8a0e3779ce0d772c46b55e78a2c51bd8bcc23,On Improving Summarization Factual Consistency from Natural Language Feedback,2022,10.48550/arXiv.2212.09968,0,['Computer Science'],"[None, None, None, None, None, None]"
3,b3262a02f8073207c9c2431bcd85cbae5cede685,Streamlining the Process in Opioid Data Collection,2018,,0,[],"[None, None]"
4,f1d290c7da1865e4af309ddbe8e68177c090db14,"Evaluation of Knee Cartilage Diurnal, Activity, and BMI-Related Variations Using Quantitative T2 Mapping MRI and Fitbit Activity Tracking.",2019,10.1055/s-0039-1695000,3,"['Medicine', 'Biology']","[None, None, None, None, None, None, None, None]"
5,397919c28fd365fc425ff6763279da8b7b12fb9b,The social embeddedness of peer production: A comparative qualitative analysis of three Indian language Wikipedia editions,2022,10.1145/3491102.3501832,0,['Sociology'],"[None, None, None, None]"
6,ef5f5bb7f754bc95bf4587297a318e68078b6615,Correlating Aggregate Polish Susceptibility to Limestone Concentration Using X-Ray Diffraction,2020,10.1109/IETC47856.2020.9249182,0,['Materials Science'],"[None, None]"
7,7134803a8a5987b5ee0bbb0b4514efd7cac635ff,Characterizing the role of bots’ in polarized stance on social media,2022,10.1007/s13278-022-00858-z,10,['Computer Science'],"[None, None]"
8,b76eaabd4810b3b55949eced0519bdc0019d2e5e,Collective Attention & Politicization of Information: Evidence from News articles on Climate Change,2021,10.2139/SSRN.3808313,1,['Economics'],"[None, None, None]"
9,7aefb4cb6141f848a58c59daa6bdc326b503111c,Understanding the Mechanisms of Human RNA Polymerase II Transcription using Single Molecule Fluorescence Colocalization,2017,10.1016/J.BPJ.2016.11.1167,0,['Biology'],"[None, None, None]"
10,7ddd9067f715d091dd19b76faf7a1dc8e2efa85b,"Maintenance therapy of patients with recurrent epithelial ovarian carcinoma with the anti-tumor-associated-mucin-1 antibody gatipotuzumab: results from a double-blind, placebo-controlled, randomized, phase II study",2021,10.1016/j.esmoop.2021.100311,0,"['Medicine', 'Biology']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
